company_name,email,website,phone,street,postcode,city,country,founding_year,employee_count,distribution_area,description,source,source_detail,verify_status,verify_code,verify_method,catch_all
Iberia Fruit Cargo GmbH & Co. KG,andre.depenbrock@ibfca.de; info@iberiafruitcargo.de; kontakt@iberiafruitcargo.de; office@iberiafruitcargo.de; service@iberiafruitcargo.de; verena.depenbrock@ibfca.de; vertrieb@iberiafruitcargo.de,https://www.iberiafruitcargo.de/,,"Alst 17,",48324,Sendenhorst,DE,,,. Zusätzlich bieten wir umfangreiche Warenumschlag,,Europages,"pattern_mx:office@iberiafruitcargo.de,service@iberiafruitcargo.de,vertrieb@iberiafruitcargo.de,kontakt@iberiafruitcargo.de,info@iberiafruitcargo.de",unknown,,smtp_unreachable,false
OPC OVERNIGHT PARCEL ESSEN GMBH,info@opc-courier.com; kontakt@opc-courier.com; office@opc-courier.com; service@opc-courier.com; support@opc-deutschland.de; vertrieb@opc-courier.com,https://www.opc-courier.com/,,Krabler Str. 127,45326,Essen,DE,,,en.\n\nVertrauen Sie auf die OPC Overnight Parcel,,Europages,"pattern_mx:service@opc-courier.com,office@opc-courier.com,info@opc-courier.com,kontakt@opc-courier.com,vertrieb@opc-courier.com",unknown,,smtp_unreachable,false
OTTO-CHEMIE Hermann Otto GmbH,info@otto-chemie.de; kontakt@otto-chemie.de; office@otto-chemie.de; tae@otto-chemie.de; vertrieb@otto-chemie.de,https://www.otto-chemie.de/,,Krankenhausstrasse 14,83413,Fridolfing,DE,,,,,Europages,"pattern_mx_top3:kontakt@otto-chemie.de,office@otto-chemie.de",unknown,,smtp_unreachable,false
Schäfer Messebau & Montagen,info@schaefer-montagen.de; kontakt@schaefer-montagen.de; office@schaefer-montagen.de,https://schaefer-montagen.de/,,An d. Beek 255,41372,Niederkrüchten,DE,,,,,Europages,"pattern_mx_top3:kontakt@schaefer-montagen.de,office@schaefer-montagen.de",unknown,,smtp_unreachable,false
Almas Industries AG,info@almas-industries.de; kontakt@almas-industries.de; office@almas-industries.de; service@almas-industries.de; vertrieb@almas-industries.de; anfragen@almas-industries.com; marketing-germany@almas-industries.com,https://almas-industries.de,,Floßwörthstrasse 57,68199,Mannheim,DE,,,,,Europages,"pattern_mx:kontakt@almas-industries.de,info@almas-industries.de,vertrieb@almas-industries.de,service@almas-industries.de,office@almas-industries.de",unknown,,smtp_unreachable,false
Schürer GmbH,a.bley@metallwaren-schuerer.de; info@metallwaren-schuerer.de; m.bohem@metallwaren-schuerer.de; p.klemm@metallwaren-schuerer.de; t.schuerer@metallwaren-schuerer.de,http://www.metallwaren-schuerer.de/,,Am Sportplatz 3,08344,Grünhain-Beierfeld,DE,,,,,Europages,"pattern_mx_top3:kontakt@metallwaren-schuerer.de,office@metallwaren-schuerer.de",unknown,,smtp_unreachable,false
ML Consulting,arndt@mercklein.de; info@mercklein.de; kontakt@mercklein.de; office@mercklein.de,https://www.mercklein.de,,Kleine Gartenstr. 20,04158,Leipzig,DE,,,,,Europages,"pattern_mx_top3:info@mercklein.de,kontakt@mercklein.de,office@mercklein.de",unknown,,smtp_unreachable,false
Elpress GmbH,info@elpress.de; kontakt@elpress.de; ludger.lingen@elpress.de; office@elpress.de,http://www.elpress.de/,,Kränkelsweg 24,41748,Viersen,DE,,,,,Europages,"pattern_mx_top3:kontakt@elpress.de,office@elpress.de",unknown,,smtp_unreachable,false
domeba GmbH,info@domeba.com; info@domeba.de; kontakt@domeba.com; marketing@domeba.de; office@domeba.com; sales.domeba@domeba.de; service@domeba.com; vertrieb@domeba.com,https://www.domeba.com/?mtm_campaign=wlw&mtm_kwd=home,,"Bornaer Straße 205, A4-Gewerbepark",09114,Chemnitz,DE,,,,,Europages,"pattern_mx:kontakt@domeba.com,vertrieb@domeba.com,office@domeba.com,info@domeba.com,service@domeba.com",unknown,,smtp_unreachable,false
Schwarzer GmbH & Co. KG,info@schwarzer-emb.de; kontakt@schwarzer-emb.de; office@schwarzer-emb.de,http://www.schwarzer-emb.de/,,Matthias-Grünewald-Strasse 38,37154,Northeim,DE,,,,,Europages,"pattern_mx_top3:kontakt@schwarzer-emb.de,office@schwarzer-emb.de",unknown,,smtp_unreachable,false
ARDIMA IndustrieService Böhm GmbH,gl@ardima.de; info@ardima.de; kontakt@ardima.de; office@ardima.de; service@ardima.de,http://www.ardima.de/,,Pfälzer Ring 22,68766,Hockenheim,DE,,,,,Europages,"pattern_mx_top3:info@ardima.de,kontakt@ardima.de,office@ardima.de",unknown,,smtp_unreachable,false
MIVALIED GmbH & Co. KG,info@mivalied.de; kontakt@mivalied.de; michael.liedek@mivalied.de; office@mivalied.de; valentin.liedek@mivalied.de,https://mivalied.de/,,Rehkamp 39,21244,Buchholz,DE,,,,,Europages,"pattern_mx_top3:kontakt@mivalied.de,office@mivalied.de",unknown,,smtp_unreachable,false
N&H Technology GmbH,info@nh-instruments.de; info@nh-technology.de; marketing@nh-technology.de,https://www.nh-technology.de/,,Gießerallee 21,47877,Willich,DE,,,.\nUnsere Fertigung erfolgt über ein bewährtes Lie,,Europages,"pattern_mx_top3:kontakt@nh-technology.de,office@nh-technology.de",unknown,,smtp_unreachable,false
SPIROL,info@spirol.de; kontakt@spirol.de; office@spirol.de; service@spirol.de; vertrieb@spirol.de; info-de@spirol.com; info-eu@spirol.com; karel.erben@spirol.com,http://www.SPIROL.de,,Ottostrasse 4,80333,München,DE,,,,,Europages,"pattern_mx:vertrieb@spirol.de,office@spirol.de,service@spirol.de,kontakt@spirol.de,info@spirol.de",unknown,,smtp_unreachable,false
Hermann Krebs GmbH,info@krebs-gmbh.de; kontakt@krebs-gmbh.de; office@krebs-gmbh.de,http://www.krebs-gmbh.de/,,Zwischen den Wegen 2,78078,Niedereschach,DE,,,,,Europages,"pattern_mx_top3:kontakt@krebs-gmbh.de,office@krebs-gmbh.de",unknown,,smtp_unreachable,false
BIGIPARTS GmbH & Co. KG,info@bigiparts.de; kontakt@bigiparts.de; office@bigiparts.de; vertrieb@bigiparts.de,http://www.bigiparts.de/,,Karl-Beffert-Strasse 7,75180,Pforzheim,DE,,,,,Europages,"pattern_mx_top3:kontakt@bigiparts.de,office@bigiparts.de",unknown,,smtp_unreachable,false
invenio AG,info@invenio.net; kontakt@invenio.net; marketing@invenio.net,http://www.invenio.net/,,Eisenstrasse 9,65428,Rüsselsheim am Main,DE,,,,,Europages,"pattern_mx_top3:info@invenio.net,kontakt@invenio.net,office@invenio.net",unknown,,smtp_unreachable,false
prodress Software GmbH,info@prodress.de; kontakt@prodress.de; mmerkl@prodress.de; office@prodress.de; vertrieb@prodress.de,https://www.prodress.de,,Gütersloher Straße 52,33649,Bielefeld,DE,,,,"Für Fashion, Textil, Mode, Schuhe, Accessoires und Berufsbekleidung entwickelt das Familienunternehmen prodress in Deutschland seit mehr als 40 Jahren seine Branchensoftware (Warenwirtschaft/ERP).\n- maßgeschneidert für Farben und Größen\n- Großhandel oder Fertigung\n- Verknüpfung Ihrer Systeme (Omnichannel, Markplätze, Shops)\n- Cloud oder auf dem eigenen Server\n- Unabhängig von Betriebssystemen (Windows, Mac OS oder Linux)\n- Strukturierung und Digitalisierung Ihrer Prozesse",Europages,"pattern_mx_top3:info@prodress.de,kontakt@prodress.de,office@prodress.de",unknown,,smtp_unreachable,false
SEKO® Staubtechnik GmbH,giesbert@seko.de; hoerster@seko.de; info@seko.de; kontakt@seko.de; kraenert@seko.de; maier@seko.de; office@seko.de; saak@seko.de,http://www.seko.de/,,Stahlstraße 8,33378,Rheda-Wiedenbrück,DE,,,von Ersatzteile (auch für Anlagen anderer Herstell,,Europages,"pattern_mx_top3:kontakt@seko.de,office@seko.de",unknown,,smtp_unreachable,false
uve GmbH für Managementberatung,a.klug@uve.de; f.weigelt@uve.de; info@uve-beratung.de; info@uve.de; kontakt@uve-beratung.de; office@uve-beratung.de; s.thor@uve.de; service@uve-beratung.de; vertrieb@uve-beratung.de; y.cengiz@uve.de,https://www.uve-beratung.de,,Kalckreuthstrasse 4,10777,Berlin,DE,,,,,Europages,"pattern_mx:info@uve-beratung.de,kontakt@uve-beratung.de,office@uve-beratung.de,service@uve-beratung.de,vertrieb@uve-beratung.de",unknown,,smtp_unreachable,false
Aixtec Ingenieurgesellschaft mbH & Co. KG,info@aixtec.de; kontakt@aixtec.de; office@aixtec.de; robert.bruells@aixtec.de; vertrieb@aixtec.de,http://www.aixtec.de/,,Am Langen Graben 26a,52353,Düren,DE,,,,,Europages,"pattern_mx_top3:kontakt@aixtec.de,office@aixtec.de",unknown,,smtp_unreachable,false
Convasto GmbH,info@convasto.com; kontakt@convasto.com; office@convasto.com,https://www.convasto.com,,"Sonnenhöhe 47,",95473,Creußen,DE,,,,,Europages,"pattern_mx_top3:kontakt@convasto.com,office@convasto.com",unknown,,smtp_unreachable,false
TAILORLease Inh.René Gräf,info@tailorlease.de; kontakt@tailorlease.de; office@tailorlease.de,https://www.tailorlease.de,,"Tietlingen 1,",29664,Walsrode,DE,,,,,Europages,"pattern_mx_top3:info@tailorlease.de,office@tailorlease.de",unknown,,smtp_unreachable,false
SECO SIGN GmbH,info@seco-sign.de; kontakt@seco-sign.de; marketing@seco-sign.de; office@seco-sign.de,https://www.seco-sign.de,,Thalkirchner Straße 210 / Haus 10 b,81371,München,DE,,,,,Europages,"pattern_mx_top3:kontakt@seco-sign.de,office@seco-sign.de",unknown,,smtp_unreachable,false
tub GmbH & CO. KG,info@t-ub.eu; kontakt@t-ub.eu; office@t-ub.eu; service@t-ub.eu; vertrieb@t-ub.eu; daniela.kaercher@t-ub.net; frank.jergl@t-ub.net; salvador.chabarekh@t-ub.net,https://www.t-ub.eu/,,Reisigstraße 56c,76768,Berg,DE,,,,,Europages,"pattern_mx:vertrieb@t-ub.eu,info@t-ub.eu,office@t-ub.eu,kontakt@t-ub.eu,service@t-ub.eu",unknown,,smtp_unreachable,false
Optimas Maschinenfabrik H. Kleinemas GmbH,c.isheim@optimas.de; info@optimas.de; kontakt@optimas.de; m.preuth@optimas.de; office@optimas.de; t.erbo@optimas.de,http://www.optimas.de/,,Industriestrasse 12,26683,Saterland,DE,,,", sofort einsatzbereit",,Europages,"pattern_mx_top3:kontakt@optimas.de,office@optimas.de",unknown,,smtp_unreachable,false
SINGOLD Kunststoff GmbH,info@singold-kunststoff.de; kontakt@singold-kunststoff.de; office@singold-kunststoff.de,http://www.singold-kunststoff.de/,,Gutenbergstrasse 12,86399,Bobingen,DE,,,,,Europages,"pattern_mx_top3:kontakt@singold-kunststoff.de,office@singold-kunststoff.de",unknown,,smtp_unreachable,false
Beauty Com GmbH,info@beautycom.biz; kontakt@beautycom.biz; office@beautycom.biz; service@beautycom.biz; vertrieb@beautycom.biz; c.sedelmayer@beauty-com.biz; info@beauty-com.biz,http://www.beautycom.biz/,,Walter-Gessner-Str. 2,83620,Feldkirchen-Westerham,DE,,,,,Europages,"pattern_mx:vertrieb@beautycom.biz,info@beautycom.biz,office@beautycom.biz,kontakt@beautycom.biz,service@beautycom.biz",unknown,,smtp_unreachable,false
Mentor Montage,info@mentor-montage.de; kontakt@mentor-montage.de; office@mentor-montage.de,https://www.mentor-montage.de,,Kapellenweg 7,48727,Billerbeck,DE,,,,,Europages,"pattern_mx_top3:kontakt@mentor-montage.de,office@mentor-montage.de",unknown,,smtp_unreachable,false
Strahltechnik Naaykens International GmbH,daniel.stuewe@naaykens.de; verkauf@naaykens.de; info@straaltechniek.net; kontakt@straaltechniek.net; office@straaltechniek.net; service@straaltechniek.net; vertrieb@straaltechniek.net,https://straaltechniek.net/de,,"Froser Straße 4, OT Reinstedt",06463,Falkenstein / Harz,DE,,,,,Europages,"pattern_mx:service@straaltechniek.net,info@straaltechniek.net,kontakt@straaltechniek.net,vertrieb@straaltechniek.net,office@straaltechniek.net",unknown,,smtp_unreachable,false
Pro-System Verpackungstechnik GmbH,info@pro-system.de; kontakt@pro-system.de; martin.hess@pro-system.de; office@pro-system.de; t.schaetzle@pro-system.de; wolfgang.weber@pro-system.de,http://www.pro-system.de/,,Kurzgewann 2-4,69436,Schönbrunn,DE,,,,,Europages,"pattern_mx_top3:kontakt@pro-system.de,office@pro-system.de",unknown,,smtp_unreachable,false
"REBIE - Der zoologische Versandgroßhandel, Inh. Lars Remke",info@rebie-onlineshop.com; info@rebie.de; kontakt@rebie-onlineshop.com; office@rebie-onlineshop.com; service@rebie-onlineshop.com; vertrieb@rebie-onlineshop.com,https://www.rebie-onlineshop.com/home.html,,Paulusstr. 43,33602,Bielefeld,DE,,,,,Europages,"pattern_mx:office@rebie-onlineshop.com,vertrieb@rebie-onlineshop.com,service@rebie-onlineshop.com,info@rebie-onlineshop.com,kontakt@rebie-onlineshop.com",unknown,,smtp_unreachable,false
EGGspert4u e.K.,info@eggspert4u.de; organisation@eggspert4u.de; s.sattkowski@eggspert4u.de,http://www.eggspert4u.de,,Neuenkamp 18,22869,Schenefeld,DE,,,durch etablierte Partnerschaft,,Europages,,unknown,,smtp_unreachable,false
WalberTec,info@walbertec.de; kontakt@walbertec.de; office@walbertec.de,https://www.walbertec.de/werkzeugmaschinen,,Dörriesstraße 2,Mechernich,53894,DE,,,,,Europages,"pattern_mx_top3:kontakt@walbertec.de,office@walbertec.de",unknown,,smtp_unreachable,false
SBE BioEnergie Handelsgesellschaft mbH,info@sbe-bioenergie.de; kontakt@sbe-bioenergie.de; office@sbe-bioenergie.de; vertrieb.dispo@sbe-bioenergie.de,http://www.sbe-bioenergie.de/,,Europaallee 20,66113,Saarbrücken,DE,,,für wechselnden Energiebedarf in Industrie &amp; A,,Europages,"pattern_mx_top3:info@sbe-bioenergie.de,kontakt@sbe-bioenergie.de,office@sbe-bioenergie.de",unknown,,smtp_unreachable,false
Lederfabrik Garnier GmbH,info@lederfabrik-garnier.de; kontakt@lederfabrik-garnier.de; office@lederfabrik-garnier.de,http://www.lederfabrik-garnier.de/,,Otto-Hahn-Straße 16,61381,Friedrichsdorf,DE,,,,,Europages,"pattern_mx_top3:kontakt@lederfabrik-garnier.de,office@lederfabrik-garnier.de",unknown,,smtp_unreachable,false
Stieber GmbH Co. KG,info@stieber-vereinsbedarf.info; kontakt@stieber-vereinsbedarf.info; office@stieber-vereinsbedarf.info; service@stieber-vereinsbedarf.info; vertrieb@stieber-vereinsbedarf.info; abraham.braun@stieber-vereinsbedarf.de; info@stieber-vereinsbedarf.de; matthias.nitsch@stieber-vereinsbedarf.de,http://www.stieber-vereinsbedarf.info/,,Hofstatt 12,36282,Hauneck,DE,,,,,Europages,"pattern_mx:office@stieber-vereinsbedarf.info,kontakt@stieber-vereinsbedarf.info,info@stieber-vereinsbedarf.info,vertrieb@stieber-vereinsbedarf.info,service@stieber-vereinsbedarf.info",unknown,,smtp_unreachable,false
packpack.de GmbH,hajo.quest@packpack.de; info@packpack.de; kontakt@packpack.de; office@packpack.de,http://www.packpack.de/,,Am Bullhamm 24-26,26441,Jever,DE,,,,,Europages,"pattern_mx_top3:kontakt@packpack.de,office@packpack.de",unknown,,smtp_unreachable,false
EVG Elektro-Vertriebs-Gesellschaft Martens GmbH & Co. KG,info@evg.de; kontakt@evg.de; office@evg.de; ram@evg.de,http://www.evg.de/,,Trompeterallee 244,41189,Mönchengladbach,DE,,,,,Europages,"pattern_mx_top3:kontakt@evg.de,office@evg.de",unknown,,smtp_unreachable,false
Ingenieurbüro Köckemann GmbH,info@ce-safety.de; kontakt@ce-safety.de; office@ce-safety.de,http://www.ce-safety.de/,,Am Silberg 2-4,59494,Soest,DE,,,,,Europages,"pattern_mx_top3:kontakt@ce-safety.de,office@ce-safety.de",unknown,,smtp_unreachable,false
Arbeitsgruppe Berlin Itertaia GmbH,info@buerojetzt.de; kontakt@buerojetzt.de; office@buerojetzt.de; t.naumann@buerojetzt.de,https://www.buerojetzt.de,,Landsberger Allee 394,12681,Berlin,DE,,,,,Europages,"pattern_mx_top3:info@buerojetzt.de,kontakt@buerojetzt.de,office@buerojetzt.de",unknown,,smtp_unreachable,false
Schubert & Salzer Control Systems GmbH,info.cs@schubert-salzer.com,http://controlsystems.schubert-salzer.com/,,Bunsenstrasse 38,85053,Ingolstadt,DE,,,,"Schubert & Salzer Control Systems fertigt und vertreibt hochpräzise Regel- und Absperrventile für den industriellen Einsatz in verfahrenstechnischen Prozessen. Unsere Ventile zählen bei Energieverbrauch und Lebensdauer heute zu den effizientesten am Markt. Direkt, über unsere Tochtergesellschaften oder mehr als 40 internationale Partner, liefern wir weltweit Qualitätsprodukte „Made in Germany”.",Europages,,unknown,,smtp_unreachable,false
Otto Mittenzwei GmbH,info@mittenzwei-planen.de; kontakt@mittenzwei-planen.de; office@mittenzwei-planen.de,http://www.mittenzwei-planen.de/,,Vohwinkeler Strasse 179,42329,Wuppertal,DE,,,,,Europages,"pattern_mx_top3:kontakt@mittenzwei-planen.de,office@mittenzwei-planen.de",unknown,,smtp_unreachable,false
KRONOS Packaging GmbH,info@kronos-packaging.de; j.nicolas@jnc-one.com; mg@kronos-packaging.de,http://www.kronos-packaging.de/,,Gustav-Adolf-Straße 130,13086,Berlin,DE,,,,,Europages,"pattern_mx_top3:kontakt@kronos-packaging.de,office@kronos-packaging.de",unknown,,smtp_unreachable,false
W. Dimer GmbH,gerlinde.dannenberger@dimer.de; info@dimer.com; info@dimer.de; kontakt@dimer.com; office@dimer.com; service@dimer.com; vertrieb@dimer.com,https://www.dimer.com/,,Luttinger Straße 68,79725,Laufenburg (Baden),DE,,,,,Europages,"pattern_mx:vertrieb@dimer.com,service@dimer.com,office@dimer.com,info@dimer.com,kontakt@dimer.com",unknown,,smtp_unreachable,false
ESCOMAG GmbH,enrico.schorradt@escomag.com; info@escomag.com; kontakt@escomag.com; office@escomag.com,https://www.escomag.com,,Langenelzer Strasse 33,74838,Limbach,DE,,,,,Europages,"pattern_mx_top3:kontakt@escomag.com,office@escomag.com",unknown,,smtp_unreachable,false
Peterseim GmbH & Co. KG Metallwerke,heider@peterseim.de; info@peterseim.de; kontakt@peterseim.de; office@peterseim.de; peterseim-sallen@peterseim.de; sallen@peterseim.de; schroeder@peterseim.de; stahl@peterseim.de,http://www.peterseim.de/,,Günsestrasse 66,57462,Olpe,DE,,,,,Europages,"pattern_mx_top3:kontakt@peterseim.de,office@peterseim.de",unknown,,smtp_unreachable,false
Simag Service GmbH,info@simagservice.com; info@simagservice.de; kontakt@simagservice.de; office@simagservice.de; service@simagservice.de; vertrieb@simagservice.de; mariusz.rudzis@simag.eu; marta.stawidlo@simag.eu,https://simagservice.de,,Franz-Sigel-Straße 2,68753,Waghäusel,DE,,,,,Europages,"pattern_mx:office@simagservice.de,kontakt@simagservice.de,info@simagservice.de,service@simagservice.de,vertrieb@simagservice.de",unknown,,smtp_unreachable,false
InfraServ GmbH & Co. Wiesbaden KG,info@immissionsschutz.com; kontakt@immissionsschutz.com; office@immissionsschutz.com; service@immissionsschutz.com; vertrieb@immissionsschutz.com; dirk.meyer@infraserv-wi.de; evelyn.heidersdorf@infraserv-wi.de; immissionsschutz@infraserv-wi.de; luft.schall@infraserv-wi.de,http://www.immissionsschutz.com/,,Kasteler Strasse 45,65203,Wiesbaden,DE,,,,,Europages,"pattern_mx:vertrieb@immissionsschutz.com,kontakt@immissionsschutz.com,office@immissionsschutz.com,service@immissionsschutz.com,info@immissionsschutz.com",unknown,,smtp_unreachable,false
R.I.D. GmbH,armin.hermanni@rid-group.com; info@rid-group.com; kontakt@rid-group.com; office@rid-group.com; tatjana.kollmer@rid-group.com,http://www.rid-group.com/,,Marbach 3,64760,Oberzent,DE,,,,,Europages,"pattern_mx_top3:info@rid-group.com,kontakt@rid-group.com,office@rid-group.com",unknown,,smtp_unreachable,false
MWS Mechanische Werkstatt Streiff GmbH & Co. KG,info@mws-streiff.de; kontakt@mws-streiff.de; office@mws-streiff.de; service@mws-streiff.de; vertrieb@mws-streiff.de,https://www.mws-streiff.de,,Pippelweg 71a,38118,Braunschweig,DE,,,,,Europages,"Europages; pattern_mx:vertrieb@mws-streiff.de,office@mws-streiff.de,kontakt@mws-streiff.de,info@mws-streiff.de,service@mws-streiff.de",unknown,,smtp_unreachable,false
Elmicron Dr. Harald Oehlmann GmbH,harald.oehlmann@elmicron.de; info@elmicron.de; kontakt@elmicron.de; matthias.litzke@elmicron.de; office@elmicron.de,http://www.elmicron.de/,,Kösener Strasse 85,06618,Naumburg,DE,,,,,Europages,"pattern_mx_top3:kontakt@elmicron.de,office@elmicron.de",unknown,,smtp_unreachable,false
Duwe & Partner GmbH,info@duwe.de; kontakt@duwe.de; office@duwe.de,http://www.duwe.de/,,Rathausgasse 4,34513,Waldeck,DE,,,,,Europages,"pattern_mx_top3:kontakt@duwe.de,office@duwe.de",unknown,,smtp_unreachable,false
ELKUBEMA Vertriebs-GmbH,kontakt@elkubema.de; swenja.masler@elkubema.de,https://www.elkubema.de/,,Bilsener Weg 3,25485,Hemdingen,DE,,,in 1-2 Tagen,,Europages,,unknown,,smtp_unreachable,false
MP-Sorting,info@mp-sorting.de; ivan.prenc@mp-sorting.de; kontakt@mp-sorting.de; marica.prenc@mp-sorting.de; office@mp-sorting.de,http://www.mp-sorting.de/,,Wilhelm-Berg-Strasse 4,37079,Göttingen,DE,,,,,Europages,"pattern_mx_top3:info@mp-sorting.de,kontakt@mp-sorting.de,office@mp-sorting.de",unknown,,smtp_unreachable,false
Kurt Schweitzer Industrielackierungen GmbH,info@schweitzer-lackierungen.de; kontakt@schweitzer-lackierungen.de; office@schweitzer-lackierungen.de,http://www.schweitzer-lackierungen.de/,,Solmser Gewerbepark 29,35606,Solms,DE,,,,,Europages,"pattern_mx_top3:kontakt@schweitzer-lackierungen.de,office@schweitzer-lackierungen.de",unknown,,smtp_unreachable,false
NAPRODUX GMBH,info@naprodux.de; kontakt@naprodux.de; office@naprodux.de,http://naprodux.de/,,Dieselstrasse 13,50859,Köln,DE,,,innerhalb Europas aus deutschem Lager\n    • Breit,,Europages,"pattern_mx_top3:kontakt@naprodux.de,office@naprodux.de",unknown,,smtp_unreachable,false
Papenbrock Entsorgungstechnik,info@papenbrock.de; kontakt@papenbrock.de; matthias@papenbrock.de; office@papenbrock.de,http://www.papenbrock.de/,,Albershöfen 16,49186,Bad Iburg,DE,,,,"Unser Sortiment umfasst Müllpressen, Ballenpressen, Dosenpressen und Kanalballenpressen. Mit unseren Anlagen können Sie Wertstoffe wie Papier, Kartonage, Folie, Dosen und Abfall so verarbeiten.\n\nVertrieb mit Maschinen der Entsorgungstechnik",Europages,"pattern_mx_top3:kontakt@papenbrock.de,office@papenbrock.de",unknown,,smtp_unreachable,false
Theodor Winkel GmbH,bosse@wst-winkel.de; herwigk@wst-winkel.de; info@dichtungen-online.de; info@wst-winkel.de; kontakt@dichtungen-online.de; m.eifler@wst-winkel.de; office@dichtungen-online.de; s.eifler@wst-winkel.de; service@dichtungen-online.de; vertrieb@dichtungen-online.de,http://www.dichtungen-online.de/,,Grovestrasse 26,30853,Langenhagen,DE,,,,,Europages,"pattern_mx:vertrieb@dichtungen-online.de,kontakt@dichtungen-online.de,service@dichtungen-online.de,office@dichtungen-online.de,info@dichtungen-online.de",unknown,,smtp_unreachable,false
Nicrola GmbH & Co. KG,info@nicrola.de; kontakt@nicrola.de; office@nicrola.de; post@nicrola.de; wolfgang.auchter@nicrola.de,https://www.nicrola.de/,,Prinz-Eugen-Straße 63,88069,Tettnang,DE,,,,,Europages,"pattern_mx_top3:info@nicrola.de,kontakt@nicrola.de,office@nicrola.de",unknown,,smtp_unreachable,false
